title,price,rating,rating_distribution,link
"Procesor Intel Raptor Lake, Core i3 13100F 3.4GHz box","579,99 RON",5,{5: 2},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i3-13100f-34ghz-box/
Procesor AMD Ryzen 5 8400F 4.2 GHz box,"929,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-8400f-42-ghz-box/
Procesor AMD Ryzen 7 8700F 4.1 GHz box,"1.449,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-7-8700f-41-ghz-box/
"Procesor Intel Comet Lake, Core i3 10105 3.7GHz box","488,75 RON",5,{5: 2},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i3-10105-37ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i3 14100 3.5GHz box","816,23 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i3-14100-35ghz-box/
Procesor AMD Ryzen 7 7700X 4.5GHz box,"1.764,99 RON",5,{5: 6},https://www.pcgarage.ro/procesoare/amd/ryzen-7-7700x-45ghz-box/
Procesor AMD Ryzen 5 8500G 3.5 GHz box,"844,79 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-8500g-35-ghz-box/
"Procesor Intel Raptor Lake, Core i7 13700KF 3.4GHz box","1.698,49 RON",5,{5: 5},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i7-13700kf-34ghz-box/
Procesor AMD Ryzen 9 7900X3D 4.4GHz box,"2.369,99 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/amd/ryzen-9-7900x3d-44ghz-box/
"Procesor Intel Raptor Lake Refresh, 300 3.9GHz box","531,52 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-300-39ghz-box/
"Procesor Intel Raptor Lake, Core i5 13500 2.5GHz box","1.319,99 RON",4.88,"{5: 14, 4: 2}",https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i5-13500-25ghz-box/
Procesor AMD Ryzen 3 4300G 3.8GHz box,"444,99 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/amd/ryzen-3-4300g-38ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i7 14700F 2.0GHz box","1.999,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i7-14700f-20ghz-box/
"Procesor Intel Raptor Lake, Core i9 13900K 3.0GHz box","2.645,99 RON",4.75,"{5: 6, 4: 2}",https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i9-13900k-30ghz-box/
"Procesor Intel Alder Lake, Core i7 12700F 2.1GHz box","1.325,16 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i7-12700f-21ghz-box/
"Procesor Intel Alder Lake, Core i9 12900KF 3.2GHz box","1.955,18 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i9-12900kf-32ghz-box/
"Procesor Intel Alder Lake, Core i9 12900K 3.2GHz box","2.133,45 RON",5,{5: 3},https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i9-12900k-32ghz-box/
"Procesor Intel Alder Lake, Core i5 12500 3.0GHz box","1.027,80 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i5-12500-30ghz-box/
"Procesor Intel Raptor Lake, Core i7 13700F 2.1GHz box","1.989,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i7-13700f-21ghz-box/
"Procesor Intel Raptor Lake, Core i9 13900KF 3.0GHz box","2.538,19 RON",5,{5: 4},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i9-13900kf-30ghz-box/
"Procesor Intel Raptor Lake Refresh, Core i9 14900F 2.0GHz box","2.999,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-refresh-core-i9-14900f-20ghz-box/
"Procesor Intel Alder Lake, Celeron G6900 3.4GHz box","348,23 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/alder-lake-celeron-g6900-34ghz-box/
"Procesor Intel Comet Lake, Celeron G5925 3.6GHz box","360,45 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/comet-lake-celeron-g5925-36ghz-box/
"Procesor Intel Comet Lake, Core i3 10100F 3.6GHz tray","370,87 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i3-10100f-36ghz-tray/
"Procesor Intel Comet Lake, Core i3 10300 3.7GHz box","949,53 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i3-10300-37ghz-box/
Procesor AMD Ryzen 5 3600X 3.8GHz box,"1.604,94 RON",4.91,"{5: 50, 4: 5}",https://www.pcgarage.ro/procesoare/amd/ryzen-5-3600x-38ghz-box/
"Procesor Intel Alder Lake, Core i9 12900F 2.4GHz box","1.979,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i9-12900f-24ghz-box/
"Procesor Intel Alder Lake, Core i9 12900 2.4GHz box","2.149,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i9-12900-24ghz-box/
"Procesor Intel Raptor Lake, Core i9 13900 2.0GHz box","3.244,75 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i9-13900-20ghz-box/
Procesor AMD Ryzen Threadripper PRO 5955WX 4.0GHz box,"5.960,40 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-threadripper-pro-5955wx-40ghz-box/
Procesor AMD Ryzen Threadripper 7960X 4.2Ghz box,"8.150,91 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-threadripper-7960x-42ghz-box/
Procesor AMD Ryzen Threadripper PRO 5965WX 3.8GHz box,"11.185,77 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-threadripper-pro-5965wx-38ghz-box/
Procesor AMD Ryzen Threadripper 7970X 4.0Ghz box,"13.685,84 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-threadripper-7970x-40ghz-box/
Procesor AMD Ryzen Threadripper PRO 5975WX 3.6GHz box,"15.509,51 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-threadripper-pro-5975wx-36ghz-box/
Procesor AMD Ryzen Threadripper PRO 5995WX 2.7GHz box,"30.841,61 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-threadripper-pro-5995wx-27ghz-box/
"Procesor Intel Rocket Lake, Core i5 11400 2.6GHz box","601,89 RON",5,{5: 4},https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i5-11400-26ghz-box/
Procesor AMD Ryzen 5 5500GT 3.6GHz box,"609,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-5500gt-36ghz-box/
"Procesor Intel Alder Lake, Core i7 12700 2.1GHz box","1.482,93 RON",5,{5: 1},https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i7-12700-21ghz-box/
"Procesor Intel Rocket Lake, Core i5 11400F 2.6GHz box","671,15 RON",5,{5: 20},https://www.pcgarage.ro/procesoare/intel/rocket-lake-core-i5-11400f-26ghz-box/
"Procesor Intel Comet Lake, Core i3 10100F 3.6GHz box","366,07 RON",5,{5: 17},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i3-10100f-36ghz-box/
"Procesor Intel Comet Lake, Core i3 10105F 3.7GHz box","366,56 RON",5,{5: 4},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i3-10105f-37ghz-box/
Procesor AMD Ryzen 5 2400G 3.6GHz MPK,"1.156,47 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-2400g-36ghz-mpk/
Procesor AMD Ryzen 5 3400G 3.7GHz MPK,"1.283,91 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-3400g-37ghz-mpk/
"Procesor Intel Raptor Lake, Core i9 13900KS 3.2GHz box","3.836,17 RON",2,{2: 1},https://www.pcgarage.ro/procesoare/intel/raptor-lake-core-i9-13900ks-32ghz-box/
"Procesor Intel Comet Lake, Celeron G5905 3.5GHz box","244,38 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/comet-lake-celeron-g5905-35ghz-box/
Procesor AMD Athlon 3000G 3.5GHz box,"269,99 RON",5,{5: 6},https://www.pcgarage.ro/procesoare/amd/athlon-3000g-35ghz-box/
Procesor AMD Ryzen 3 1200 3.1GHz Tray,"329,43 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-3-1200-31ghz-tray/
Procesor AMD Ryzen 5 3500 3.6GHz tray,"331,28 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-3500-36ghz-tray/
"Procesor Intel Comet Lake, Pentium Gold G6405 4.1GHz box","366,07 RON",5,{5: 2},https://www.pcgarage.ro/procesoare/intel/comet-lake-pentium-gold-g6405-41ghz-box/
"Procesor Intel Comet Lake, Pentium Gold G6400 4.0GHz box","367,88 RON",5,{5: 2},https://www.pcgarage.ro/procesoare/intel/comet-lake-pentium-gold-g6400-40ghz-box/
Procesor AMD Athlon 200GE 3.2GHz MPK,"397,65 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/athlon-200ge-32ghz-mpk/
Procesor AMD A6 9500 3.5 GHz tray,"399,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/a6-9500-35-ghz-tray/
Procesor AMD Athlon 3000G 3.5GHz tray,"473,18 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/athlon-3000g-35ghz-tray/
"Procesor Intel Comet Lake, Core i3 10100 3.6GHz box","488,11 RON",5,{5: 2},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i3-10100-36ghz-box/
Procesor AMD Ryzen 3 2200G 3.5GHz MPK,"509,12 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-3-2200g-35ghz-mpk/
Procesor AMD Ryzen 5 3600 3.6GHz tray,"527,08 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-3600-36ghz-tray/
